renamed	dataset	sample_type
ABCS_08712	RBD_TARGET	Primary Tumor
ABCS_08713	RBD_TARGET	Primary Tumor
ABCS_08714	RBD_TARGET	Primary Tumor
ABCS_08715	RBD_TARGET	Primary Tumor
ABCS_08716	RBD_TARGET	Primary Tumor
ABCS_08717	RBD_TARGET	Primary Tumor
ABCS_08718	RBD_TARGET	Primary Tumor
ABCS_08719	RBD_TARGET	Primary Tumor
ABCS_08720	RBD_TARGET	Primary Tumor
ABCS_08721	RBD_TARGET	Primary Tumor
ABCS_08722	RBD_TARGET	Primary Tumor
ABCS_08723	RBD_TARGET	Primary Tumor
ABCS_08724	RBD_TARGET	Primary Tumor
ABCS_08725	RBD_TARGET	Primary Tumor
ABCS_04865	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04866	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04867	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04868	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04869	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04870	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04871	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04872	LAML_TARGET	Primary Blood Derived Cancer - Peripheral Blood
ABCS_04873	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04874	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04875	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04876	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04877	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04878	LAML_TARGET	Primary Blood Derived Cancer - Peripheral Blood
ABCS_04879	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04880	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04881	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04882	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04883	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04884	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04885	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04886	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04887	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04888	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04889	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04890	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04891	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04892	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04893	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04894	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04895	LAML_TARGET	Primary Blood Derived Cancer - Peripheral Blood
ABCS_04896	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04897	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04898	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04899	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04900	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04901	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04902	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04903	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04904	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04905	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04906	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04907	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04908	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04909	LAML_TARGET	Primary Blood Derived Cancer - Peripheral Blood
ABCS_04910	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04911	LAML_TARGET	Primary Blood Derived Cancer - Peripheral Blood
